VariableName,VariableType,Definition,Units,CenteringFactor,ScalingFactor,FinalEquationForScaledVariable_((variable-centering factor)/scaling factor),
annWatDef,Climate,"Annual water deficit (sum(mean monthly temperature*2 - monthly total precip.), when (mean monthly temperature*2 - monthly total precip.)>0), averaged over the previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",mm of water/degrees celsius,76.72547266,84.73160773,(annWatDef-76.7254726604496)/84.7316077337762,
annWetDegDays,Climate,"Annual wet degree days (annual wet degree days = sum(monthly tmean * days of the month), for all months where monthly tmean*2 < monthly prcp), averaged over the previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",degree days,2415.973043,1547.18274,(annWetDegDays-2415.97304344236)/1547.18274008889,
VPD_mean,Climate,"Mean annual monthly vapor pressure deficit (monthly VPD = a0+monthly tmean*(a1+monthly tmean *(a2+ monthly tmean*(a3+ monthly tmean*(a4 +monthly tmean *(a5	+ monthly tmean*a6)))))))*100 -  (monthly tmean))/1000, where a0=6.107799961, a1=0.4436518521, a2=0.01428945805, a3=0.0002650648471, a4=0.000003031240396,  a5=0.00000002034080948, a6=0.00000000006136820929; annual VPD = mean(monthlyVPD), where monthly VPD is scaled according to the number of days in the month (e.g. June monthlyVPD is scaled by 30/31), averaged over the previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",milibars,1.512412744,0.502848054,(VPD_mean-1.5124127441693)/0.50284805438637,
VPD_max,Climate,"Maximum annual monthly vapor pressure deficit, averaged over the previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",milibars,2.841181539,0.762350982,(VPD_max-2.84118153920758)/0.762350982041117,
VPD_min,Climate,"Minimum annual monthly vapor pressure deficit, averaged over the previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",milibars,0.614111265,0.300040795,(VPD_min-0.61411126495142)/0.300040795156152,
VPD_max_95,Climate,"95th percentile of annual maximum monthly vapor pressure deficit, averaged over the previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011)",milibars,3.148802419,0.809247542,(VPD_max_95-3.14880241948353)/0.809247542283207,
annWatDef_95,Climate,95th percentile of annual water deficit across the previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011),mm of water/degrees celsius,120.249149,100.5598512,(annWatDef_95-120.24914899261)/100.559851157866,
annWetDegDays_5,Climate,5th percentile of annual wet degree days across the previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011),degree days,1613.500246,1395.134198,(annWetDegDays_5-1613.50024612828)/1395.13419834634,
frostFreeDays_5,Climate,5th percentile of annual frost free days across the previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011),days,208.5824499,76.63437483,(frostFreeDays_5-208.582449900221)/76.6343748329754,
frostFreeDays,Climate,The annual number of frost free days in a year (Julian date of the last day of the last month with a monthly minimum temperature above 0 degrees C - Julian date of the first day of the first month with a monthly minimum temperature avoce 0 degrees C) averaged over the previous 20-30 years (only used fewer than 30 years of data when the focal year was before 2011),days,236.8517245,74.44707679,(frostFreeDays-236.851724545075)/74.4470767937705,
tmean_anom,Weather Anomaly,"Average annual mean daily temperature in degrees C, averaged across previous 3 years, relative to tmean (30 yr. average - 3 yr. average)",degrees Celsius,-0.324407693,0.394325616,(tmean_anom--0.324407692670553)/0.394325616429814,
tmin_anom,Weather Anomaly,"Average annual minimum daily temperature in degrees C, averaged across previous 3 years, relative to tmin (30 yr. average - 3 yr. average)",degrees Celsius,-0.468818064,0.521136052,(tmin_anom--0.468818064474605)/0.521136052435294,
tmax_anom,Weather Anomaly,"Average annual maximum daily temperature in degrees C, averaged across previous 3 years, relative to tmax (30 yr. average - 3 yr. average)",degrees Celsius,-0.192468549,0.412098312,(tmax_anom--0.192468548675303)/0.412098312011398,
prcp_anom,Weather Anomaly,"total annual daily precip in mm, averaged across previous 3 years, relative to prcp ((30 year avg. - 3 year avg.) / 30 year avg.)",mm,-0.020555029,0.135783654,(prcp_anom--0.0205550290656798)/0.135783653608905,
t_warm_anom,Weather Anomaly,"mean daily maximum temperature in the warmest month in degrees C, averaged across previous 3 years, relative to t_warm ( 30 year avg. - 3 year avg.)",degrees Celsius,-0.284131985,0.60887284,(t_warm_anom--0.284131984507222)/0.60887283971474,
t_cold_anom,Weather Anomaly,"mean daily minimum temperature in the warmest month in degrees C, averaged across previous 3 years, relative to t_min ( 30 year avg. - 3 year avg.)",degrees Celsius,-0.296467022,0.935287901,(t_cold_anom--0.296467022021824)/0.935287901323892,
prcp_wet_anom,Weather Anomaly,"total precipitation in the wettest month in mm, averaged across previous  3 years, relative to precp_wet ((30 year avg. - 3 year avg.) / 30 year avg.)",mm,-0.013855627,0.166231864,(prcp_wet_anom--0.0138556265061734)/0.166231863883155,
precp_dry_anom,Weather Anomaly,"total precipitation in the driest month in mm, averaged across previous  3 years, relative to precp_dry ((30 year avg. - 3 year avg.) / 30 year avg.)",mm,-0.095133397,0.936512331,(precp_dry_anom--0.0951333968085092)/0.936512331187465,
prcp_Seasonality_anom,Weather Anomaly,"the seasonality of precipitation within a year (standard deviation(monthly precipitation)/mean(monthly precipitation)), averaged across previous 3 years, relative to prcp_seasonality (((30 year avg. - 3 year avg.) / 30 year avg.)",mm,0.009417653,0.108667007,(prcp_Seasonality_anom-0.00941765315618485)/0.1086670070862,
prcpTempCorr_anom,Weather Anomaly,"Correlation of monthly precipitation and temperature in a year, averaged across previous  3 years, relative to prcpTempCorr (30 year avg. - 3 year avg.)",correlation,-0.013574183,0.119480922,(prcpTempCorr_anom--0.0135741826558898)/0.119480921839482,
aboveFreezingMonth_anom,Weather Anomaly,"The integer index (from 1-12) of the first month in a year when the daily low temperature is above 0 degrees C,  averaged over the previous 3 years , relative to aboveFreezingMonth (30 year avg. - 3 year avg.)",numerical monthly,0.042359612,0.281839593,(aboveFreezingMonth_anom-0.0423596123322117)/0.281839592913188,
isothermality_anom,Weather Anomaly,"Annual isothermality (mean(monthly max temps - monthly min temps)/(maximum monthly temperature across year-minimum monthly temperature across year) * 100) ,  averaged over the previous 3 years, relative to isotheramality (30 year avg. - 3 year avg.)",isothermal ratio,0.757266217,1.11676049,(isothermality_anom-0.757266216999368)/1.11676049029002,
annWatDef_anom,Weather Anomaly,"Annual water deficit (sum(mean monthly temperature*2 - monthly total precip.), when (mean monthly temperature*2 - monthly total precip.)>0), averaged over the previous 3 years, relative to annWatDef ((30 year avg. - 3 year avg.)/30 year avg.)",mm of water/degrees celsius,0.038189989,0.50248706,(annWatDef_anom-0.03818998929696)/0.502487059862956,
annWetDegDays_anom,Weather Anomaly,"Annual wet degree days averaged over the previous 3 years, relative to annWetDegDays ((30 year avg. - 3 year avg.)/30 year avg.)",degree days,-0.016039056,0.182421092,(annWetDegDays_anom--0.0160390559745908)/0.182421092338844,
VPD_mean_anom,Weather Anomaly,"Mean annual monthly vapor pressure deficit, averaged over the previous 3 years, relative to VPD_mean (30 year avg. - 3 year avg.)",milibars,-0.036410834,0.036413907,(VPD_mean_anom--0.0364108338189064)/0.036413906550408,
VPD_min_anom,Weather Anomaly,"Maximum annual monthly vapor pressure deficit, averaged over the previous 3 years, relative to VPD_min (30 year avg. - 3 year avg.)",milibars,-0.005871043,0.029382408,(VPD_min_anom--0.00587104289430877)/0.0293824080174978,
VPD_max_anom,Weather Anomaly,"Minimum annual monthly vapor pressure deficit, averaged over the previous 3 years, relative to VPD_max (30 year avg. - 3 year avg.)",milibars,-0.073889458,0.089883249,(VPD_max_anom--0.0738894575707788)/0.0898832486823169,
frostFreeDays_anom,Weather Anomaly,"Annual frost free days averaged over the previous 3 years, relative to frostFreeDays (30 year avg. - 3 year avg.)",days,-3.75499658,11.69215714,(frostFreeDays_anom--3.75499658041999)/11.6921571435392,
soilDepth,Soil,"soil depth at a location in cm, from SOLUS100 data that Daniel revised",cm,138.5777489,40.81965267,(soilDepth-138.577748923262)/40.8196526690132,
clay,Soil,"percent of clay in the soil surface (0-3cm), from SOLUS100 data that Daniel revised",%,17.45502795,8.233276148,(clay-17.4550279515436)/8.23327614799501,
sand,Soil,"average percentage of sand across the soil profile, weighted by profile layer depth, from SOLUS100 data that Daniel revised",%,46.82763132,17.98567643,(sand-46.8276313184098)/17.9856764278545,
coarse,Soil,"average percentage of coarse fragments across the soil profile, weighted by profile layer depth, from SOLUS100 data that Daniel revised",%,11.18397843,11.24234211,(coarse-11.1839784321178)/11.2423421140553,
carbon,Soil,"Percentage of organic matter in the soil surface (0-3cm), from SOLUS100 data that Daniel revised",%,4.352536264,7.369103449,(carbon-4.35253626360503)/7.36910344928708,
AWHC,Soil,"total soil available water holding capacity, from SOLUS100 data that Daniel revised",,14.91029339,5.485682603,(AWHC-14.9102933933897)/5.48568260305817,
